hotel,portal,checkin,checkout,nights,price_per_night_JPY,total_price_JPY,currency,status,scraped_at,url
Section L Ueno Hirokoji,Agoda,2026-10-27,2026-11-10,14,2026,28364,JPY,ok [body-text-grep],2026-05-12T15:26:22,https://www.agoda.com/section-l-ueno-hirokoji/hotel/tokyo-jp.html?checkIn=2026-10-27&checkOut=2026-11-10&adults=1&children=0&rooms=1
Section L Akihabara,Agoda,2026-10-27,2026-11-10,14,2026,28364,JPY,ok [body-text-grep],2026-05-12T15:26:32,https://www.agoda.com/section-l-akihabara/hotel/tokyo-jp.html?checkIn=2026-10-27&checkOut=2026-11-10&adults=1&children=0&rooms=1
Section L Ueno Hirokoji,Booking.com,2026-10-27,2026-11-10,14,48300,676200,JPY,ok [.bui-price-display__value],2026-05-12T15:26:02,https://www.booking.com/hotel/jp/section-l-ueno-hirokoji.en-gb.html?checkin=2026-10-27&checkout=2026-11-10&group_adults=1&no_rooms=1&group_children=0&selected_currency=JPY
Section L Akihabara,Booking.com,2026-10-27,2026-11-10,14,35168,492355,JPY,ok [.bui-price-display__value],2026-05-12T15:26:11,https://www.booking.com/hotel/jp/section-l-akihabara.en-gb.html?checkin=2026-10-27&checkout=2026-11-10&group_adults=1&no_rooms=1&group_children=0&selected_currency=JPY
Section L Ueno Hirokoji,Hotels.com,2026-10-27,2026-11-10,14,,,JPY,error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.hotels.com/ho573817/?q-check-in=2026-10-27&q,2026-05-12T15:26:43,https://www.hotels.com/ho573817/?q-check-in=2026-10-27&q-check-out=2026-11-10&q-rooms=1&q-room-0-adults=1
Section L Akihabara,Hotels.com,2026-10-27,2026-11-10,14,,,JPY,error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.hotels.com/ho2375654/?q-check-in=2026-10-27&,2026-05-12T15:26:45,https://www.hotels.com/ho2375654/?q-check-in=2026-10-27&q-check-out=2026-11-10&q-rooms=1&q-room-0-adults=1
Section L Ueno Hirokoji,Agoda,2026-10-27,2026-11-10,14,2026,28364,JPY,ok [body-text-grep],2026-05-12T18:04:02,https://www.agoda.com/section-l-ueno-hirokoji/hotel/tokyo-jp.html?checkIn=2026-10-27&checkOut=2026-11-10&adults=1&children=0&rooms=1
Section L Akihabara,Agoda,2026-10-27,2026-11-10,14,2026,28364,JPY,ok [body-text-grep],2026-05-12T18:04:12,https://www.agoda.com/section-l-akihabara/hotel/tokyo-jp.html?checkIn=2026-10-27&checkOut=2026-11-10&adults=1&children=0&rooms=1
Section L Ueno Hirokoji,Booking.com,2026-10-27,2026-11-10,14,48300,676200,JPY,ok [.bui-price-display__value],2026-05-12T18:03:39,https://www.booking.com/hotel/jp/section-l-ueno-hirokoji.en-gb.html?checkin=2026-10-27&checkout=2026-11-10&group_adults=1&no_rooms=1&group_children=0&selected_currency=JPY
Section L Akihabara,Booking.com,2026-10-27,2026-11-10,14,35168,492355,JPY,ok [.bui-price-display__value],2026-05-12T18:03:51,https://www.booking.com/hotel/jp/section-l-akihabara.en-gb.html?checkin=2026-10-27&checkout=2026-11-10&group_adults=1&no_rooms=1&group_children=0&selected_currency=JPY
Section L Ueno Hirokoji,Hotels.com,2026-10-27,2026-11-10,14,,,JPY,error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.hotels.com/ho573817/?q-check-in=2026-10-27&q,2026-05-12T18:04:22,https://www.hotels.com/ho573817/?q-check-in=2026-10-27&q-check-out=2026-11-10&q-rooms=1&q-room-0-adults=1
Section L Akihabara,Hotels.com,2026-10-27,2026-11-10,14,,,JPY,error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.hotels.com/ho2375654/?q-check-in=2026-10-27&,2026-05-12T18:04:24,https://www.hotels.com/ho2375654/?q-check-in=2026-10-27&q-check-out=2026-11-10&q-rooms=1&q-room-0-adults=1
Section L Ueno Hirokoji,Agoda,2026-10-27,2026-11-10,14,2026,28364,JPY,ok [body-text-grep],2026-05-13T04:54:50,https://www.agoda.com/section-l-ueno-hirokoji/hotel/tokyo-jp.html?checkIn=2026-10-27&checkOut=2026-11-10&adults=1&children=0&rooms=1
Section L Akihabara,Agoda,2026-10-27,2026-11-10,14,2026,28364,JPY,ok [body-text-grep],2026-05-13T04:55:00,https://www.agoda.com/section-l-akihabara/hotel/tokyo-jp.html?checkIn=2026-10-27&checkOut=2026-11-10&adults=1&children=0&rooms=1
Section L Ueno Hirokoji,Booking.com,2026-10-27,2026-11-10,14,48300,676200,JPY,ok [.prco-valign-middle-helper],2026-05-13T04:54:27,https://www.booking.com/hotel/jp/section-l-ueno-hirokoji.en-gb.html?checkin=2026-10-27&checkout=2026-11-10&group_adults=1&no_rooms=1&group_children=0&selected_currency=JPY
